Date,Open,High,Low,Close,Adj Close,Volume
2021-06-25,82.129997,82.269997,80.629997,80.779999,80.779999,577400
2021-06-28,80.940002,81.989998,80.169998,81.650002,81.650002,330000
2021-06-29,81.790001,82.209999,80.730003,80.860001,80.860001,210400
2021-06-30,80.480003,80.809998,79.750000,80.419998,80.419998,223800
2021-07-01,80.339996,82.410004,80.339996,81.980003,81.980003,219600
2021-07-02,82.449997,83.000000,81.730003,82.500000,82.500000,163200
2021-07-06,82.809998,82.970001,81.320000,82.129997,82.129997,171500
2021-07-07,82.230003,83.879997,82.230003,82.830002,82.830002,242800
2021-07-08,81.449997,82.930000,80.370003,81.570000,81.570000,191000
2021-07-09,82.010002,83.089996,82.010002,82.949997,82.949997,238600
2021-07-12,83.059998,83.970001,82.309998,83.540001,83.540001,155000
2021-07-13,83.639999,83.860001,83.089996,83.209999,83.209999,108200
2021-07-14,83.629997,84.629997,83.510002,83.769997,83.769997,163100
2021-07-15,83.459999,83.930000,82.610001,83.169998,83.169998,142200
2021-07-16,83.699997,84.300003,82.559998,82.820000,82.820000,144100
2021-07-19,81.910004,82.839996,80.690002,82.760002,82.760002,171600
2021-07-20,83.279999,85.349998,83.279999,83.809998,83.809998,277000
2021-07-21,84.000000,84.940002,83.860001,83.989998,83.989998,194500
2021-07-22,85.839996,87.050003,82.879997,83.129997,83.129997,330500
2021-07-23,83.250000,84.349998,82.879997,83.940002,83.940002,210700
2021-07-26,84.169998,84.900002,83.900002,84.760002,84.760002,140300
2021-07-27,84.419998,85.900002,82.430000,85.690002,85.690002,449700
2021-07-28,86.339996,87.510002,86.000000,86.510002,86.510002,399500
2021-07-29,90.059998,95.400002,90.059998,94.510002,94.510002,885400
2021-07-30,96.610001,96.870003,93.330002,94.290001,94.290001,578700
2021-08-02,95.000000,96.720001,94.500000,95.370003,95.370003,960100
2021-08-03,95.260002,98.459999,95.260002,98.000000,98.000000,516400
2021-08-04,97.669998,99.790001,97.110001,99.199997,99.199997,665200
2021-08-05,99.739998,101.529999,98.610001,101.120003,101.120003,260600
2021-08-06,100.839996,102.089996,100.290001,100.650002,100.650002,315200
2021-08-09,100.889999,102.169998,98.650002,101.660004,101.660004,630600
2021-08-10,101.949997,103.580002,101.580002,102.529999,102.529999,460200
2021-08-11,102.900002,103.129997,96.930000,100.709999,100.709999,423500
2021-08-12,100.739998,102.930000,99.800003,102.510002,102.510002,365900
2021-08-13,102.599998,104.160004,102.070000,103.089996,103.089996,264300
2021-08-16,103.290001,105.470001,102.500000,105.459999,105.459999,324300
2021-08-17,107.000000,107.440002,103.639999,105.050003,105.050003,401600
2021-08-18,104.320000,107.779999,103.750000,103.849998,103.849998,418100
2021-08-19,102.580002,104.169998,101.500000,103.489998,103.489998,357300
2021-08-20,103.250000,106.260002,102.739998,106.110001,106.110001,267000
2021-08-23,106.949997,109.059998,106.180000,108.250000,108.250000,379800
2021-08-24,108.830002,109.110001,107.050003,108.940002,108.940002,241500
2021-08-25,109.199997,112.669998,109.199997,112.000000,112.000000,592200
2021-08-26,112.190002,113.760002,110.080002,113.029999,113.029999,361500
2021-08-27,113.690002,116.949997,113.500000,116.080002,116.080002,588800
2021-08-30,117.500000,119.360001,115.410004,118.699997,118.699997,384900
2021-08-31,118.209999,120.000000,116.470001,119.220001,119.220001,428000
2021-09-01,119.989998,120.010002,116.769997,117.830002,117.830002,725800
2021-09-02,118.110001,120.680000,117.669998,118.089996,118.089996,629300
2021-09-03,118.230003,121.970001,118.230003,121.669998,121.669998,513600
2021-09-07,122.779999,122.779999,117.389999,118.760002,118.760002,526000
2021-09-08,118.760002,120.779999,118.589996,119.419998,119.419998,502000
2021-09-09,119.529999,121.360001,119.529999,120.309998,120.309998,410100
2021-09-10,120.680000,121.500000,118.510002,118.510002,118.510002,426800
2021-09-13,118.949997,118.970001,113.860001,116.050003,116.050003,687500
2021-09-14,116.300003,118.919998,115.910004,116.709999,116.709999,373500
2021-09-15,117.089996,119.080002,116.040001,117.660004,117.660004,436000
2021-09-16,117.360001,118.070000,117.019997,117.190002,117.190002,434200
2021-09-17,117.000000,117.639999,115.260002,115.500000,115.500000,650100
2021-09-20,112.239998,114.919998,110.550003,113.370003,113.370003,612400
2021-09-21,114.830002,117.209999,113.800003,115.919998,115.919998,603200
2021-09-22,115.900002,119.860001,115.150002,119.379997,119.379997,436100
2021-09-23,120.860001,123.629997,119.339996,122.290001,122.290001,324100
2021-09-24,121.300003,123.309998,120.269997,123.059998,123.059998,219600
2021-09-27,122.970001,123.010002,119.599998,121.449997,121.449997,241100
2021-09-28,119.279999,119.279999,116.790001,117.239998,117.239998,392600
2021-09-29,118.120003,120.389999,117.500000,118.599998,118.599998,501600
2021-09-30,119.180000,120.080002,115.629997,115.699997,115.699997,404700
2021-10-01,116.839996,120.760002,115.400002,119.370003,119.370003,367300
2021-10-04,118.839996,119.989998,116.769997,119.309998,119.309998,240200
2021-10-05,120.110001,121.500000,118.500000,120.050003,120.050003,278000
2021-10-06,118.540001,120.180000,117.080002,119.889999,119.889999,174000
2021-10-07,121.169998,124.709999,121.000000,122.860001,122.860001,769300
2021-10-08,123.050003,123.589996,120.209999,120.879997,120.879997,176100
2021-10-11,120.010002,121.559998,119.209999,120.900002,120.900002,327000
2021-10-12,121.750000,125.290001,120.900002,123.820000,123.820000,374300
2021-10-13,125.190002,127.449997,124.000000,126.339996,126.339996,334000
2021-10-14,127.879997,130.860001,127.660004,129.880005,129.880005,607500
2021-10-15,130.089996,130.559998,128.279999,128.800003,128.800003,431500
2021-10-18,129.389999,134.600006,128.940002,132.869995,132.869995,399100
2021-10-19,134.000000,134.839996,132.009995,132.960007,132.960007,487600
2021-10-20,133.000000,133.279999,125.070000,126.239998,126.239998,586200
2021-10-21,126.000000,126.250000,120.379997,122.220001,122.220001,769400
2021-10-22,122.489998,125.050003,122.180000,123.870003,123.870003,309900
2021-10-25,124.690002,126.529999,124.250000,124.709999,124.709999,262100
2021-10-26,125.209999,125.529999,122.080002,123.190002,123.190002,261400
2021-10-27,122.489998,123.330002,120.199997,121.900002,121.900002,475500
2021-10-28,121.779999,128.270004,121.610001,124.790001,124.790001,1219100
2021-10-29,124.660004,127.959999,123.309998,123.599998,123.599998,509300
2021-11-01,123.650002,125.669998,121.620003,123.910004,123.910004,309300
2021-11-02,124.269997,127.230003,123.000000,125.230003,125.230003,267900
2021-11-03,125.250000,131.919998,125.250000,131.330002,131.330002,414100
2021-11-04,137.000000,150.929993,135.000000,148.839996,148.839996,2643800
2021-11-05,149.009995,153.279999,146.589996,148.240005,148.240005,1141100
2021-11-08,148.580002,150.000000,145.639999,148.589996,148.589996,678100
2021-11-09,149.009995,149.630005,145.809998,148.259995,148.259995,277200
2021-11-10,146.570007,149.009995,140.289993,142.050003,142.050003,584400
2021-11-11,142.990005,145.600006,141.000000,141.250000,141.250000,234000
2021-11-12,141.940002,143.229996,140.419998,140.809998,140.809998,224500
2021-11-15,140.529999,142.720001,137.710007,140.789993,140.789993,270700
2021-11-16,139.889999,144.130005,139.589996,143.600006,143.600006,303100
2021-11-17,142.940002,145.779999,141.850006,144.389999,144.389999,312200
2021-11-18,145.479996,147.360001,143.550003,146.770004,146.770004,254100
2021-11-19,146.699997,149.350006,145.550003,146.630005,146.630005,371200
2021-11-22,146.800003,148.369995,135.779999,138.759995,138.759995,454200
2021-11-23,137.990005,140.600006,134.270004,136.720001,136.720001,392200
2021-11-24,135.000000,139.729996,133.250000,139.490005,139.490005,210500
2021-11-26,137.559998,138.970001,133.169998,134.240005,134.240005,156300
2021-11-29,136.419998,140.899994,135.880005,138.360001,138.360001,365900
2021-11-30,138.369995,139.369995,134.000000,137.029999,137.029999,552300
2021-12-01,140.910004,140.910004,129.309998,129.330002,129.330002,496700
2021-12-02,128.679993,134.740005,127.180000,134.080002,134.080002,384200
2021-12-03,134.789993,136.199997,126.279999,128.529999,128.529999,449700
2021-12-06,127.879997,129.720001,123.129997,127.900002,127.900002,717600
2021-12-07,131.259995,136.979996,131.259995,134.369995,134.369995,415500
2021-12-08,134.699997,137.330002,133.100006,136.899994,136.899994,389000
2021-12-09,136.410004,141.250000,136.410004,139.740005,139.740005,784900
2021-12-10,139.789993,141.740005,138.020004,139.949997,139.949997,688300
2021-12-13,139.440002,140.550003,130.639999,130.660004,130.660004,336800
2021-12-14,128.259995,132.570007,126.169998,126.889999,126.889999,426500
2021-12-15,126.889999,130.100006,123.250000,128.880005,128.880005,686500
2021-12-16,130.000000,132.020004,120.629997,120.750000,120.750000,659600
2021-12-17,117.449997,123.949997,115.690002,121.879997,121.879997,963500
2021-12-20,119.139999,123.379997,117.870003,122.080002,122.080002,674200
2021-12-21,123.779999,127.669998,121.910004,126.540001,126.540001,496500
2021-12-22,126.489998,127.800003,125.239998,127.570000,127.570000,290100
2021-12-23,127.800003,131.410004,125.419998,130.520004,130.520004,412000
2021-12-27,131.339996,136.399994,130.800003,136.309998,136.309998,212400
2021-12-28,137.750000,137.750000,131.720001,132.320007,132.320007,246400
2021-12-29,132.410004,133.600006,131.179993,133.309998,133.309998,144900
2021-12-30,132.750000,133.770004,129.789993,129.850006,129.850006,156200
2021-12-31,129.429993,131.440002,128.350006,129.289993,129.289993,247300
2022-01-03,130.649994,133.119995,124.589996,125.440002,125.440002,277500
2022-01-04,125.260002,126.089996,118.540001,121.589996,121.589996,445700
2022-01-05,119.010002,121.900002,116.180000,116.459999,116.459999,354100
2022-01-06,116.000000,117.809998,112.269997,116.190002,116.190002,298000
2022-01-07,116.589996,117.959999,111.080002,111.529999,111.529999,411000
2022-01-10,105.000000,107.779999,101.779999,107.620003,107.620003,1144900
2022-01-11,107.559998,109.250000,105.290001,108.580002,108.580002,468100
2022-01-12,109.190002,110.339996,107.680000,108.820000,108.820000,346500
2022-01-13,109.400002,111.309998,104.849998,105.120003,105.120003,394100
2022-01-14,104.110001,106.790001,101.440002,102.720001,102.720001,391700
2022-01-18,98.680000,101.580002,98.220001,99.709999,99.709999,503800
